Row Number,Region Alias,Latitude,Longitude
1,Balakovo,59.9050895,10.7673005
2,Dracena,47.0202503,-68.1435021
3,Temuco,32.0608187,36.0941795
4,Morrilton,48.9318625,2.4943891
5,Puerto Princesa City,33.532172,109.882289
6,Butte,39.3096984,-76.6701475
7,Lock Haven,56.387721,28.1195609
8,Karaganda,40.2553096,-8.5929199
9,Nondalton,42.5450345,21.9002712
10,,34.7345529,66.9511459
11,Alldays,-34.5688333,-58.4937996
12,Hawarden,13.7696054,121.030464
13,Puerto Armuelles,25.5784559,51.4821387
14,Tabal Island,5.4197312,100.3170452
15,Carcassonne/Salvaza,32.051599,121.420114
16,Dayton,49.5458457,19.0802389
17,Peureumeue-Sumatra Island,27.517896,109.213644
18,Show Low,27.062407,108.739519
19,,40.3999248,49.9789212
20,,31.25997,34.2826
21,Hope Vale,44.351935,-87.8445954
22,Windhoek,-23.6012232,-51.6392076
23,Innsbruck,-30.2196952,-51.0985192
24,Wekweètì,14.1752039,-89.7445776
25,Takotna,40.6285158,-73.9447994
26,Sapporo,-7.0609,113.7136
27,Iki,44.4412922,42.8839636
28,Tottori,-6.716667,111.216667
29,Johannesburg,-0.5223759,121.674572
30,Miskolc,56.0160374,39.9476278
31,Andorra La Vella,49.7863419,21.9461429
32,Boca de Sábalo,8.9951264,124.8833084
33,Nepesi,34.878483,113.277504
34,Duncan,63.1709533,17.2596201
35,Yichun,24.479833,118.089425
36,Nancy/Essey,15.2478876,104.8764505
37,Sigiriya,29.7136436,72.49695
38,Nyala,63.827461,20.2599325
39,Wichita,-6.17017,106.83139
40,Naxos Island,36.1113287,138.7601651
41,Birao,25.904305,112.203287
42,Cozumel,22.44668,114.033953
43,Danbury,29.1513922,31.1366715
44,High Wycombe,19.1753648,-96.1427574
45,Cairo,14.4730694,121.0286633
46,Thule,-25.2637399,-57.575926
47,Mbandaka,51.8895954,-8.4977746
48,Dunedin,-7.1234674,111.8479156
49,South Bimini,37.515114,103.575676
50,Carlton Hill,9.338682,123.291063
51,Mys Kamennyi,32.8616618,-8.0547019
52,Winnemucca,25.60162,103.817356
53,Guaporé,-8.802,121.3118
54,Biloxi,29.355908,109.671458
55,,19.3228423,95.1797058
56,Neyveli,19.6419585,-70.449236
57,Jamestown,41.3357664,-7.5894479
58,Olathe,-19.8182619,-43.1580426
59,Zhengzhou,14.5743433,102.5527505
60,Deer Harbor,-33.8651294,151.2078882
61,Böblingen,47.7334545,-3.4955428
62,,49.2952364,14.4681017
63,Sue Islet,5.5773983,-0.3136781
64,Viqueque,34.9442746,132.4282484
65,Labuan Bajo - Flores Island,38.226652,115.510218
66,Kopiago,48.1285846,38.0317812
67,Srednekolymsk,-22.0699763,-46.5728156
68,Santana Ramos,51.6248663,20.8139759
69,Dalian,39.6589565,-8.8073178
70,Larnarca,9.3172545,123.4102597
71,Saint Peter Port,55.7382444,37.6148
72,Arequipa,31.437058,119.975172
73,Westfield/Springfield,39.4670766,-8.4504292
74,Ōzora,32.990664,112.528308
75,Cholet/Le Pontreau,47.1181887,9.5433844
76,Semey,30.830898,120.92585
77,Urengoy,51.5598572,-2.3523889
78,Kaitaia,43.8914144,20.3501652
79,Atambua-Timor Island,50.701693,20.3707749
80,Tres Esquinas,58.6772898,52.190142
81,Basrah,59.4075977,17.9282806
82,,33.1963963,-8.587212
83,Dalton,56.076372,35.9263157
84,San Ignacio,45.1476503,5.7504953
85,,50.4800637,16.1816772
86,Merlo,48.401643,29.2407915
87,Guadalajara,-25.3907214,-51.4628097
88,Mostyn,5.021476,-73.990955
89,Escanaba,-8.3031696,112.1132142
90,Viqueque,46.3392772,14.9599807
91,,-31.06523,28.3345399
92,Ipil,50.3657373,20.8874542
93,Atlanta,50.9409245,20.9571249
94,Merritt,27.232443,112.738604
95,Calicut,38.0113874,23.6027231
96,Bristol,48.3343908,24.8195808
97,Berane,26.8844636,-81.734942
98,Siassi,48.9154732,16.8550346
99,Denpasar-Bali Island,15.9385737,120.4936932
100,Eufaula,34.8066794,32.4212424
101,Minden,12.0683397,99.8459774
102,Beaver Creek,39.9863563,-0.0513246
103,Djanet,49.9636769,18.7713574
104,Georgetown,49.465597,16.1555481
105,Jining,50.254933,21.478359
106,Rodez/Marcillac,14.7512576,121.0758172
107,Hays,40.207475,116.287531
108,Gold Beach,31.0507836,121.7458676
109,Aberdeen,-35.3876097,-64.2828611
110,Presidente Dutra,62.7810616,148.1452805
111,Labuan,19.482042,-99.1985584
112,Stara Zagora,31.829323,119.977286
113,Ancona,51.0144934,13.6972162
114,Manston,49.9899828,18.6926323
115,Masset,41.2267295,-8.378101
116,Brindisi,-18.7942434,-67.0464591
117,Yam Island,43.4146453,22.1271404
118,Eugene,-2.6360357,120.5480578
119,Fort St.John,48.4935627,135.0631263
120,Oita,14.5806413,121.0036417
121,Pereira,29.724692,113.900628
122,Farmingdale,37.6092461,61.8643252
123,Pinheiro,16.9270749,97.3678624
124,Reedsville,-25.3907214,-51.4628097
125,Sulphur Springs,48.3611707,27.0855305
126,Daly Waters,29.451926,60.8841983
127,,22.0983236,-79.7231612
128,Mostyn,-6.8982,113.1705
129,Sorong-Papua Island,16.1344075,102.2090224
130,Ambriz,65.821212,21.7053767
131,Shenzhen,49.95073,19.964648
132,Zhalantun,52.721723,-2.244703
133,Stephens Island,-8.7223957,115.1767095
134,Fuzhou,49.5265342,29.9197237
135,Mirny,9.5835546,6.5463156
136,Cobija,46.6824698,15.6512293
137,Sabana De Torres,32.7473047,12.5642261
138,Atambua-Timor Island,-7.1691828,108.0050384
139,Lexington,43.2837871,46.4531554
140,Montgomery,36.284107,100.620031
141,Fort Chipewyan,38.988722,117.508856
142,Lutsk,49.8338541,36.3240107
143,Rio Cuarto,40.834681,113.774004
144,Akrotiri,49.2275285,14.7209457
145,Kazan,49.348096,119.7942301
146,Cancún,49.8401299,13.3555893
147,Gdynia,40.2023282,116.2398367
148,Ust-Kuyga,38.7637108,-9.327504
149,,22.919769,113.618216
150,,59.3164285,18.0590482
151,San Jose,10.1671173,123.6152351
152,Borba,12.2270347,123.2823247
153,Vallenar,9.5384134,105.2428853
154,Brunswick,6.2272766,1.5814235
155,Peoria,-12.0271668,-75.3743736
156,El Vigía,29.985295,122.207215
157,Caruaru,4.2784597,126.8573186
158,São Lourenço,50.1304906,16.1867635
159,Miyako City,49.7969047,16.6128396
160,Dauphin,40.609731,120.756479
161,Yining,32.874735,117.531622
162,,-31.3317595,-54.1038619
163,Tirana,10.8226522,105.6647142
164,Port Protection,-5.2368931,-75.6557206
165,Guatemala City,6.1360612,10.2572084
166,,29.287939,121.429477
167,Termez,45.4289,40.5244001
168,Codazzi,45.33697,131.011304
169,New York,-6.4,39.55
170,Thule,45.0510883,16.0518078
171,Iquitos,49.0096906,2.5479245
172,Southend,45.9426521,15.1455616
173,,48.9549197,17.3786013
174,Goya,41.242873,121.996499
175,Tokyo,43.9015048,22.2738011
176,Sarzana (SP),39.9368237,116.4442945
177,,15.5262669,-87.6556468
178,Sargodha,11.1619,124.005
179,Xieng Khouang,-31.9974697,27.6640187
180,Da Lat,-19.6115404,34.7409293
181,Sipitang,-24.30724,29.51076
182,Monywar,9.0028747,-79.7301725
183,Whiteriver,46.21659,83.43329
184,Silao,-19.7963816,34.8844867
185,Auki,58.5931974,35.8080537
186,Port Lincoln,36.6484118,9.6146499
187,Greensboro,41.62315,112.52687
188,Plattsburgh,45.1973827,33.2979082
189,Wilmington,49.7582153,21.3418674
190,,-6.8008183,107.1781769
191,Olenyok,-25.3631459,-49.0801588
192,Cody,-6.076643,106.4288088
193,Orapa,54.1863169,19.7204087
194,Minna,13.5292779,-86.2856819
195,Elizabethtown,33.45,-112.08
196,Lichinga,-19.9241693,-48.3811173
197,Böblingen,41.6089452,20.006257
198,Qeshm,38.661678,-9.2406619
199,Carlton Hill,41.701706,48.2809323
200,Gothenburg,40.417311,21.0565269
201,Florianópolis,-7.0130494,108.525539
202,Alma,56.5023602,60.8150629
203,Taichung City,49.6197452,18.4728742
204,Locarno,16.098935,-88.8094906
205,Sønderborg,-11.6557739,43.26505
206,Bhuj,32.7526842,-97.3264658
207,Miami,-6.792354,39.2083284
208,Jordan,-28.71667,31.9
209,,47.440449,19.1700809
210,Singapore,-37.5481968,-62.7684331
211,Bauru,43.2038704,44.8434843
212,Ukunda,53.00338,14.96923
213,Wrightstown,-10.8416198,39.6285874
214,Cape Lisburne,32.990664,112.528308
215,Union Island,39.353118,-9.1143068
216,Badin,26.887238,109.735661
217,Girdwood,64.1405188,-21.9494552
218,Dazu,-19.0553711,-169.9178709
219,Kanazawa,23.0685814,112.4496521
220,Savannah,15.3487537,108.2286504
221,Ponca City,15.9946032,120.7916737
222,Horta,50.0360024,22.0152079
223,Fuvahmulah Island,27.5331693,68.7254605
224,Hotan,51.400458,86.02293
225,Colorado Creek,49.0940835,15.8933085
226,Marsabit,38.8525512,-94.4079213
227,Castellón de la Plana,-16.3753091,-58.4059227
228,Thompson,9.0795272,40.8652187
229,Willcox,49.2412468,30.098993
230,Bourges,10.6172827,-8.6985716
231,Inglaterra,56.227929,35.6372213
232,Napakiak,43.7441795,2.511999
233,Lompoc,4.15663,-76.287762
234,Huambo,14.6060279,-87.940833
235,Kerteh,26.106815,34.2743587
236,,45.212088,130.478187
237,Port Blair,37.646108,120.477813
238,Sørkjosen,22.180668,109.356166
239,Fullerton,-7.5557614,111.4469654
240,Tambao,12.1628466,6.6745042
241,Poprad,30.108216,104.677091
242,McArthur River Mine,59.9000274,150.8632131
